Time (Hours),R.S.19 Carbon Neg. Control,R.S.19 Propionic Acid,R.S.19 L-Glutamate,R.S.19 D-Glucose,R.S.19 Potasium Sorbate,R.S.19 Lactulose,R.S.19 Glycerol,R.S.19 Myo-Inositol,R.S.19 D-Serine,R.S.19 D-Galactose,R.S.19 Oxalate,R.S.19 Malate,R.S.19 L-Methionine,R.S.19 Glycine,R.S.19 Quinic Acid,R.S.19 Sodium Succinate,R.S.19 Dulcitol,R.S.19 Alpha-D-Glucose,R.S.19 L-Xylose,R.S.19 L-Aspartate,R.S.19 D-Fructose,R.S.19 L-Valine,R.S.19 Sodium Pyruvate,R.S.19 Lactate,R.S.19 Citrate,R.S.19 D-Mannose,R.S.19 L-Serine,R.S.19 D-Salicin,R.S.19 D-Cellubiose,R.S.19 Adonitol,R.S.19 D-Glucose-6-phosphate,R.S.19 L-Sorbose,R.S.19 D-Arabitol,R.S.19 L-Lysine,R.S.19 D-Trehalose,R.S.19 Acetate,R.S.19 L-Alanine,R.S.19 L-Arabinose,R.S.19 L-Threonine,R.S.19 4 Hydroxy-Phenylacetate,R.S.19 D-Ribose,R.S.19 Alpha-D-Melebiose,R.S.19 D-Alanine,R.S.19 L-Fucose,R.S.19 L-Asparagine,R.S.19 L-Leucine,R.S.19 D-Aspartate,R.S.19 Inosine,R.S.19 Thymidine,R.S.19 Sucrose,R.S.19 D-Xylose,R.S.19 L-Cysteine,R.S.19 Alpha-D-Lactose,R.S.19 D-Raffinose,R.S.19 D-Asparagine,R.S.19 i-Erythritol,R.S.19 D-Cysteine,R.S.19 L-Isoleucine,R.S.19 L-Cysteate,R.S.19 Adenosine,R.S.19 Xylitol,R.S.19 L-Glutamine,R.S.19 L-Rhamnose,R.S.19 Putrescine,R.S.19 2-Deoxy-D-Ribose,R.S.19 L-Arabitol,R.S.19 D-Glucosamine,R.S.19 L-Phenylalanine,R.S.19 D-Glutamate,R.S.19 D-Arabinose,R.S.19 L-Tryptophan,R.S.19 L-Pyro-Glutamate,R.S.19 Nitrogen Neg. Control,R.S.19 Tyramine,R.S.19 Uridine,R.S.19 Inosine,R.S.19 Histamine,R.S.19 L-Pyro-Glutamate,R.S.19 Cytidine,R.S.19 Adenosine,R.S.19 L-Arginine,R.S.19 Thiourea,R.S.19 Biuret,R.S.19 Guanidine,R.S.19 L-Histidine,R.S.19 Thymine,R.S.19 L-Glutathione,R.S.19 Allantoin,R.S.19 Adenine,R.S.19 Glycine,R.S.19 Beta-Phenylethylamine,R.S.19 L-Proline,R.S.19 D-Methionine,R.S.19 Cytosine,R.S.19 D-Valine,R.S.19 N-Acetyl-D-Glucosamine
24.5,0.212662,0.153187,0.271514,0.850711,0.412692,0.151511,0.329788,0.166609,0.221174,0.306483,0.142342,0.165641,0.120157,0.183537,0.208156,0.355227,0.250559,0.866981,0.126427,0.303996,0.461566,0.0995277,0.330382,0.39806,0.188286,0.364218,0.259945,0.208212,0.201129,0.203676,0.42503,0.2095,0.202977,0.199635,0.338061,0.213472,0.220216,0.212918,0.205527,0.265196,0.257945,0.262764,0.265415,0.385723,0.24993,0.207993,0.213198,0.264315,0.306376,0.318407,0.543112,0.225987,0.207207,0.25337,0.23798,0.2014,0.146793,0.221625,0.235131,0.257777,0.190286,0.3648,0.212582,0.219952,0.221626,0.208277,0.442472,0.183271,0.248007,0.202266,0.249127,0.285007,0.536036,0.293919,0.608388,0.463664,0.774454,0.853047,1.00741,0.39324,0.532059,0.550729,0.346832,0.398303,0.544637,0.483754,0.873522,0.4848,0.234849,0.633627,0.321022,0.395448,0.341653,0.57797,0.324137,0.445014
25,0.20961,0.154433,0.271143,0.868851,0.412994,0.148279,0.328583,0.159456,0.21578,0.308703,0.139376,0.171042,0.119684,0.184944,0.205982,0.375886,0.253578,0.865207,0.1219,0.319814,0.467575,0.0975317,0.330681,0.406611,0.187254,0.366928,0.25857,0.206874,0.199459,0.201419,0.43516,0.205917,0.199252,0.197066,0.337112,0.217295,0.218825,0.21067,0.203191,0.265485,0.259479,0.266645,0.264053,0.391362,0.250052,0.206027,0.211836,0.263826,0.325824,0.317147,0.56304,0.225264,0.206176,0.252063,0.236241,0.199321,0.14577,0.219767,0.235401,0.257649,0.190308,0.367453,0.211049,0.220921,0.219692,0.207868,0.451352,0.183057,0.247585,0.200889,0.253826,0.285114,0.533218,0.296352,0.609184,0.465629,0.779428,0.851096,1.01435,0.399166,0.537257,0.553098,0.346884,0.417115,0.533464,0.476869,0.876888,0.485967,0.229158,0.653546,0.331618,0.401846,0.346642,0.589484,0.3246,0.465848
25.5,0.212602,0.155442,0.268007,0.869677,0.420764,0.153037,0.332835,0.161173,0.221498,0.320751,0.14185,0.18353,0.121398,0.188829,0.209341,0.403165,0.260927,0.867554,0.126626,0.338609,0.47843,0.0985996,0.33553,0.433576,0.187061,0.376606,0.260964,0.210303,0.201585,0.203724,0.446857,0.208297,0.202351,0.199268,0.340989,0.22224,0.219366,0.212199,0.205172,0.269895,0.26438,0.274338,0.266994,0.406044,0.253658,0.208915,0.214771,0.266339,0.33469,0.318436,0.581803,0.226354,0.208397,0.25397,0.238719,0.20087,0.147533,0.222197,0.238903,0.259814,0.188326,0.370961,0.212183,0.223584,0.220825,0.209707,0.462681,0.18594,0.250246,0.202807,0.261616,0.286884,0.544319,0.296115,0.626008,0.478559,0.790496,0.851962,1.00203,0.414493,0.540072,0.555754,0.352166,0.432523,0.517383,0.473548,0.852472,0.483815,0.226981,0.639317,0.339037,0.407348,0.353656,0.594758,0.321796,0.475928
26,0.215358,0.155798,0.267993,0.869866,0.423443,0.157582,0.337921,0.165515,0.227611,0.328892,0.143495,0.19278,0.123366,0.192442,0.212551,0.411017,0.26986,0.869187,0.130916,0.360689,0.494429,0.100493,0.364452,0.444165,0.188178,0.385372,0.26251,0.214124,0.20476,0.207079,0.458969,0.21144,0.20517,0.201149,0.346538,0.226255,0.221118,0.2148,0.20746,0.274142,0.269419,0.283145,0.270407,0.419056,0.258988,0.211387,0.215734,0.271518,0.351595,0.31983,0.585458,0.226467,0.209703,0.256666,0.242036,0.202788,0.149302,0.223264,0.24008,0.262146,0.190078,0.376658,0.213935,0.225717,0.221061,0.211549,0.478157,0.188497,0.252706,0.203181,0.268028,0.286758,0.480611,0.300124,0.636683,0.487845,0.784334,0.850571,1.01376,0.425873,0.561509,0.554113,0.352852,0.441757,0.511284,0.476734,0.847341,0.48617,0.226305,0.640131,0.350548,0.411245,0.355399,0.589197,0.317695,0.455646
26.5,0.215384,0.155368,0.271802,0.873806,0.429571,0.15783,0.338224,0.161986,0.228359,0.335303,0.143835,0.19994,0.119688,0.195825,0.214265,0.412651,0.275179,0.876841,0.129999,0.377983,0.506724,0.0992457,0.388873,0.477889,0.18825,0.394402,0.263499,0.215767,0.205462,0.208051,0.483198,0.211281,0.204388,0.20127,0.350853,0.230559,0.223137,0.215287,0.207544,0.277408,0.274534,0.289095,0.272277,0.426514,0.260821,0.211735,0.21559,0.274884,0.360762,0.320747,0.600119,0.226615,0.21049,0.257555,0.242278,0.201929,0.14805,0.221925,0.239605,0.265689,0.189409,0.378837,0.213276,0.227187,0.220539,0.212141,0.484429,0.188725,0.252494,0.201522,0.278878,0.287403,0.499502,0.300402,0.64183,0.499038,0.776177,0.852363,1.02042,0.433823,0.555358,0.546534,0.352706,0.447732,0.457416,0.470954,0.840014,0.484665,0.223738,0.62673,0.366935,0.417345,0.358414,0.602717,0.3175,0.423422
27,0.215411,0.157817,0.264668,0.867905,0.430645,0.158173,0.337831,0.161745,0.231954,0.345993,0.143103,0.212512,0.121813,0.201019,0.215306,0.423627,0.280383,0.882811,0.130783,0.389717,0.524789,0.100438,0.404876,0.49915,0.188672,0.403303,0.26396,0.217169,0.20582,0.208717,0.514816,0.210527,0.204468,0.201325,0.355953,0.234779,0.22323,0.214758,0.207078,0.280539,0.278953,0.295199,0.273903,0.432668,0.260996,0.212198,0.215293,0.277075,0.37588,0.320481,0.621962,0.225993,0.21139,0.258708,0.243249,0.200908,0.147736,0.220246,0.240024,0.268981,0.1879,0.381877,0.211935,0.227696,0.220009,0.213421,0.492913,0.190821,0.25214,0.200321,0.29049,0.287752,0.519908,0.30154,0.662561,0.511914,0.780116,0.847182,1.00199,0.448962,0.571383,0.547422,0.354262,0.449892,0.439428,0.470137,0.830459,0.479958,0.224078,0.61562,0.380505,0.433193,0.362351,0.616314,0.314021,0.411035
27.5,0.209854,0.158099,0.248311,0.869065,0.425706,0.154757,0.33628,0.160374,0.231346,0.352131,0.141165,0.217226,0.120114,0.201649,0.211599,0.418729,0.2819,0.911346,0.128132,0.392951,0.531155,0.0981679,0.409805,0.539271,0.185863,0.412014,0.261873,0.214282,0.201454,0.205235,0.556573,0.20684,0.200472,0.197084,0.356184,0.239442,0.219706,0.211457,0.203002,0.2802,0.277771,0.296064,0.272215,0.436698,0.257794,0.209574,0.211069,0.277626,0.379508,0.321157,0.637101,0.222241,0.205496,0.253199,0.238817,0.196765,0.143709,0.215807,0.234386,0.267466,0.184662,0.379058,0.207917,0.225221,0.215097,0.209205,0.50361,0.189989,0.249426,0.195789,0.294857,0.280578,0.53941,0.299723,0.673131,0.522147,0.781197,0.844684,1.00889,0.471976,0.568391,0.552388,0.346852,0.45943,0.427437,0.470321,0.828042,0.484169,0.225847,0.605296,0.392256,0.438171,0.373949,0.621961,0.314381,0.41077
28,0.191495,0.15652,0.236695,0.860384,0.414052,0.140174,0.32642,0.150781,0.21779,0.35312,0.136012,0.220322,0.1143,0.198839,0.198365,0.412204,0.274871,0.921475,0.11392,0.392135,0.543024,0.0938078,0.415249,0.553469,0.182628,0.41228,0.25158,0.204218,0.189738,0.19228,0.564752,0.19136,0.186347,0.183449,0.346889,0.241128,0.211101,0.200334,0.190851,0.274353,0.26994,0.289834,0.258906,0.436199,0.247627,0.197463,0.193215,0.267122,0.394739,0.318101,0.631745,0.213844,0.193317,0.24011,0.224155,0.18479,0.131365,0.196841,0.217039,0.262098,0.175461,0.365095,0.196074,0.218333,0.204086,0.197637,0.505163,0.182676,0.240179,0.180108,0.289245,0.265286,0.520644,0.296824,0.668361,0.496563,0.784524,0.829419,1.00891,0.473694,0.557516,0.543021,0.333882,0.46358,0.424063,0.480434,0.825707,0.484807,0.227315,0.624379,0.401783,0.437881,0.368505,0.621401,0.312456,0.411175
28.5,0.184086,0.157737,0.231952,0.860031,0.404893,0.138153,0.320578,0.147277,0.2119,0.35539,0.135984,0.224861,0.113517,0.199911,0.193428,0.413159,0.276611,0.921095,0.11074,0.388327,0.565913,0.0928442,0.42819,0.580414,0.181098,0.421655,0.24905,0.202028,0.186012,0.188421,0.586872,0.18586,0.182579,0.179898,0.349278,0.241963,0.20581,0.19718,0.18851,0.274952,0.269727,0.293568,0.252456,0.443535,0.246458,0.196366,0.188023,0.264314,0.395799,0.314402,0.650977,0.210888,0.189684,0.235787,0.220714,0.181292,0.128536,0.194196,0.212256,0.253942,0.173106,0.368008,0.194806,0.216781,0.199676,0.194146,0.514416,0.181996,0.240393,0.177495,0.290125,0.260568,0.548246,0.292623,0.672261,0.48687,0.781485,0.830932,1.01451,0.476679,0.561634,0.551197,0.338195,0.47304,0.426407,0.483907,0.827769,0.498151,0.233657,0.628441,0.413659,0.447761,0.379749,0.618229,0.314564,0.415193
29,0.180893,0.160508,0.237685,0.864135,0.398134,0.138035,0.315281,0.14508,0.208405,0.366826,0.13662,0.233124,0.113899,0.200252,0.190274,0.419572,0.279055,0.918603,0.110602,0.380109,0.590478,0.0926801,0.449567,0.588608,0.180112,0.432985,0.248585,0.203304,0.184556,0.186457,0.617813,0.183922,0.180866,0.178359,0.350878,0.244839,0.200982,0.193699,0.186952,0.27913,0.271343,0.298496,0.251491,0.446984,0.247597,0.197596,0.186051,0.265291,0.392985,0.313068,0.672249,0.210778,0.189053,0.234632,0.219695,0.181243,0.12937,0.194315,0.210855,0.249607,0.169476,0.367681,0.19426,0.218171,0.19898,0.193292,0.528308,0.18485,0.243311,0.177714,0.293582,0.260047,0.521819,0.288726,0.675862,0.47689,0.780586,0.833756,1.01457,0.479376,0.567425,0.557244,0.341852,0.479155,0.435414,0.482553,0.809917,0.50282,0.236851,0.649347,0.423027,0.455054,0.382224,0.629577,0.310407,0.418011
29.5,0.179368,0.16378,0.243283,0.854777,0.393635,0.139293,0.314787,0.145356,0.211462,0.379602,0.136394,0.236444,0.116768,0.204226,0.189153,0.428017,0.279547,0.920626,0.112497,0.377105,0.642039,0.0933675,0.470654,0.627602,0.17999,0.445173,0.24701,0.204117,0.183869,0.186089,0.646878,0.183041,0.181302,0.178035,0.353581,0.247623,0.198165,0.191316,0.185748,0.283982,0.273758,0.304178,0.252129,0.445606,0.248993,0.199544,0.186465,0.267881,0.400466,0.312302,0.686881,0.210503,0.18854,0.233542,0.219915,0.180551,0.129168,0.193794,0.210945,0.247635,0.168701,0.3687,0.192758,0.219239,0.197705,0.19392,0.542203,0.189569,0.244569,0.17657,0.293125,0.262584,0.523144,0.28992,0.686482,0.479152,0.782822,0.826349,1.02892,0.476675,0.574547,0.558352,0.34408,0.483966,0.44586,0.478651,0.805526,0.516528,0.23991,0.656048,0.425006,0.452511,0.395609,0.626779,0.306734,0.41855
30,0.180369,0.169023,0.251696,0.846779,0.402416,0.140571,0.316551,0.144361,0.215754,0.403794,0.136703,0.2529,0.117166,0.207135,0.189467,0.436791,0.283257,0.925348,0.114383,0.374391,0.707316,0.0937193,0.486882,0.628188,0.180888,0.468983,0.248801,0.207595,0.184563,0.186517,0.684993,0.183214,0.182185,0.178876,0.359718,0.258371,0.196405,0.190272,0.185732,0.286285,0.278288,0.311045,0.25541,0.447372,0.253101,0.203554,0.188398,0.27204,0.404466,0.312754,0.730814,0.212228,0.189896,0.235088,0.22312,0.183109,0.132377,0.197677,0.216099,0.25095,0.166863,0.373715,0.192744,0.221262,0.198197,0.19594,0.557314,0.199512,0.248358,0.178952,0.294102,0.264807,0.545988,0.289053,0.692457,0.466524,0.78742,0.828334,1.02365,0.479951,0.576312,0.559556,0.349678,0.489339,0.454054,0.479505,0.799554,0.509024,0.241096,0.665622,0.423509,0.463991,0.396937,0.635462,0.302927,0.423097
30.5,0.182899,0.172606,0.258773,0.849194,0.403287,0.142438,0.321283,0.145883,0.227692,0.429586,0.137461,0.26705,0.120025,0.210097,0.191631,0.443708,0.284594,0.909436,0.118384,0.372582,0.722523,0.0944403,0.502367,0.647984,0.181886,0.483885,0.251485,0.21084,0.185603,0.187454,0.711536,0.185821,0.1839,0.180421,0.364753,0.277202,0.196347,0.191101,0.18609,0.288976,0.28355,0.317156,0.25888,0.443642,0.256643,0.207108,0.191511,0.27744,0.410015,0.316273,0.796166,0.213785,0.190846,0.237497,0.224622,0.183319,0.134049,0.199645,0.219311,0.255773,0.165307,0.37728,0.192545,0.223319,0.198223,0.197203,0.571659,0.210147,0.249482,0.17995,0.295951,0.270703,0.507305,0.292626,0.688514,0.459193,0.783141,0.826993,1.02513,0.479881,0.576569,0.5617,0.353997,0.493781,0.464626,0.480643,0.783801,0.501934,0.244344,0.677031,0.421156,0.471023,0.397661,0.643672,0.297255,0.424718
31,0.184424,0.17912,0.26569,0.858439,0.39704,0.144532,0.328045,0.146291,0.238757,0.450896,0.137633,0.279755,0.119578,0.212509,0.192646,0.448586,0.288418,0.912229,0.120699,0.370862,0.741539,0.0943324,0.505705,0.671965,0.184044,0.500156,0.25266,0.214203,0.185807,0.186654,0.736976,0.185894,0.183359,0.180036,0.372367,0.290592,0.195716,0.192466,0.185031,0.290092,0.2879,0.320987,0.260456,0.460737,0.257288,0.208626,0.192872,0.276503,0.416862,0.314505,0.836353,0.21227,0.18982,0.238128,0.224905,0.182136,0.134264,0.199945,0.220944,0.260115,0.16407,0.382669,0.191233,0.224328,0.196109,0.19693,0.590152,0.21701,0.249122,0.179654,0.30121,0.268981,0.509356,0.29418,0.693327,0.45486,0.78783,0.824002,1.03599,0.476976,0.584084,0.56308,0.354393,0.495246,0.473227,0.481911,0.792587,0.510183,0.247311,0.69,0.42136,0.466773,0.40617,0.656178,0.292172,0.428237
31.5,0.182018,0.183277,0.271645,0.864586,0.400293,0.143218,0.330304,0.144896,0.242129,0.467483,0.136298,0.286975,0.117256,0.219377,0.192378,0.454894,0.289592,0.912097,0.118731,0.368147,0.7626,0.0941994,0.524835,0.669152,0.18489,0.520358,0.253517,0.215788,0.185689,0.18649,0.755335,0.185418,0.182507,0.178769,0.376732,0.296945,0.193375,0.191575,0.184084,0.29307,0.292098,0.323841,0.260112,0.513141,0.257007,0.210017,0.192557,0.277095,0.421747,0.313896,0.837087,0.212742,0.189724,0.23863,0.225286,0.180575,0.133733,0.198552,0.222026,0.263744,0.161718,0.387917,0.189765,0.225239,0.195578,0.198025,0.610659,0.2226,0.248792,0.17828,0.304712,0.265785,0.504067,0.295957,0.689592,0.44961,0.780904,0.826297,1.02667,0.484391,0.589422,0.564414,0.356152,0.494972,0.483722,0.490271,0.785251,0.509176,0.247518,0.69793,0.416154,0.486045,0.395365,0.661602,0.287867,0.431144
